Tarih,Ürün,Avrupa Birliği Para Birimi,AB Piyasa Fiyatı,AB Piyasa Fiyatı- Yüksek,AB Piyasa Fiyatı- Düşük,Dolar Kuru (Satış)
2023-02-01,ICE BRENT,$/BBL,82.84000000012799,86.20999999987201,82.370000000064,18.8235
2023-01-31,ICE BRENT,$/BBL,84.48999999955198,85.250000000256,83.73000000019199,18.8216
2023-01-30,ICE BRENT,$/BBL,84.899999999808,87.47999999961601,84.660000000576,18.8215
2023-01-29,ICE BRENT,$/BBL,86.66000000044801,88.949999999616,85.68999999974399,18.8191
2023-01-28,ICE BRENT,$/BBL,86.66000000044801,88.949999999616,85.68999999974399,18.8191
2023-01-27,ICE BRENT,$/BBL,86.66000000044801,88.949999999616,85.68999999974399,18.8191
2023-01-26,ICE BRENT,$/BBL,87.469999999872,88.009999999488,85.73999999980799,18.8191
2023-01-25,ICE BRENT,$/BBL,86.11999999948799,86.999999999808,85.410000000192,18.8188
2023-01-24,ICE BRENT,$/BBL,86.130000000576,88.71000000038399,85.79999999961602,18.8073
2023-01-23,ICE BRENT,$/BBL,88.19000000025599,89.090000000064,86.920000000512,18.8183
2023-01-22,ICE BRENT,$/BBL,87.62999999980799,87.789999999744,85.579999999872,18.811
2023-01-21,ICE BRENT,$/BBL,87.62999999980799,87.789999999744,85.579999999872,18.811
2023-01-20,ICE BRENT,$/BBL,87.62999999980799,87.789999999744,85.579999999872,18.811
2023-01-19,ICE BRENT,$/BBL,86.159999999808,86.849999999616,83.759999999424,18.808
2023-01-18,ICE BRENT,$/BBL,84.980000000448,87.84999999955198,84.56000000044801,18.8039
2023-01-17,ICE BRENT,$/BBL,85.920000000576,86.820000000384,84.04000000031999,18.8029
2023-01-16,ICE BRENT,$/BBL,84.46000000032001,85.589999999616,83.83000000032,18.8019
2023-01-15,ICE BRENT,$/BBL,85.279999999488,85.42999999968,83.49999999936001,18.793
2023-01-14,ICE BRENT,$/BBL,85.279999999488,85.42999999968,83.49999999936001,18.793
2023-01-13,ICE BRENT,$/BBL,85.279999999488,85.42999999968,83.49999999936001,18.793
2023-01-12,ICE BRENT,$/BBL,84.030000000576,84.620000000256,82.370000000064,18.7946
2023-01-11,ICE BRENT,$/BBL,82.670000000448,82.980000000576,79.310000000448,18.7919
2023-01-10,ICE BRENT,$/BBL,80.100000000384,80.89000000031999,78.809999999808,18.7893
2023-01-09,ICE BRENT,$/BBL,79.649999999808,81.370000000128,78.420000000384,18.7876
2023-01-08,ICE BRENT,$/BBL,78.570000000576,80.589999999936,78.05000000044801,18.7836
2023-01-07,ICE BRENT,$/BBL,78.570000000576,80.589999999936,78.05000000044801,18.7836
2023-01-06,ICE BRENT,$/BBL,78.570000000576,80.589999999936,78.05000000044801,18.7836
2023-01-05,ICE BRENT,$/BBL,78.690000000192,79.96999999968,77.60999999961601,18.7725
2023-01-04,ICE BRENT,$/BBL,77.840000000448,82.72000000051199,77.719999999488,18.7531
2023-01-03,ICE BRENT,$/BBL,82.10000000025599,86.999999999808,81.78000000038399,18.7442
2023-01-02,ICE BRENT,$/BBL,85.909999999488,85.99999999987202,82.880000000448,18.7366
2023-01-01,ICE BRENT,$/BBL,85.909999999488,85.99999999987202,82.880000000448,18.732
2022-12-31,ICE BRENT,$/BBL,85.909999999488,85.99999999987202,82.880000000448,18.732
2022-12-30,ICE BRENT,$/BBL,85.909999999488,85.99999999987202,82.880000000448,18.732
2022-12-29,ICE BRENT,$/BBL,82.26000000019201,83.140000000512,81.279999999744,18.7303
2022-12-28,ICE BRENT,$/BBL,83.260000000128,84.75999999936,81.919999999488,18.7301
2022-12-27,ICE BRENT,$/BBL,83.91999999936,84.11999999961601,81.28999999948799,18.715
2022-12-26,ICE BRENT,$/BBL,83.91999999936,84.11999999961601,81.28999999948799,18.6986
2022-12-25,ICE BRENT,$/BBL,83.91999999936,84.11999999961601,81.28999999948799,18.6928
2022-12-24,ICE BRENT,$/BBL,83.91999999936,84.11999999961601,81.28999999948799,18.6928
2022-12-23,ICE BRENT,$/BBL,83.91999999936,84.11999999961601,81.28999999948799,18.6928
2022-12-22,ICE BRENT,$/BBL,80.97999999936,83.84999999980799,80.670000000576,18.6858
2022-12-21,ICE BRENT,$/BBL,82.200000000384,82.52000000025599,79.54999999968,18.6768
2022-12-20,ICE BRENT,$/BBL,79.990000000512,80.89000000031999,78.279999999936,18.6717
2022-12-19,ICE BRENT,$/BBL,79.8,80.869999999488,78.59999999980799,18.6647
2022-12-18,ICE BRENT,$/BBL,79.04000000063999,81.78000000038399,78.28999999968,18.6603
2022-12-17,ICE BRENT,$/BBL,79.04000000063999,81.78000000038399,78.28999999968,18.6603
2022-12-16,ICE BRENT,$/BBL,79.04000000063999,81.78000000038399,78.28999999968,18.6603
2022-12-15,ICE BRENT,$/BBL,81.21000000019201,83.179999999488,80.830000000512,18.6589
2022-12-14,ICE BRENT,$/BBL,82.69999999968,83.150000000256,80.110000000128,18.6602
2022-12-13,ICE BRENT,$/BBL,80.68000000031999,81.279999999744,78.100000000512,18.6581
2022-12-12,ICE BRENT,$/BBL,77.99000000064,78.590000000064,75.26000000063999,18.6534
2022-12-11,ICE BRENT,$/BBL,76.10000000064,77.480000000256,75.110000000448,18.6544
2022-12-10,ICE BRENT,$/BBL,76.10000000064,77.480000000256,75.110000000448,18.6544
2022-12-09,ICE BRENT,$/BBL,76.10000000064,77.480000000256,75.110000000448,18.6544
